0,1,2,3,4,5,6,7,8,9
86,84,98,91,88,85,113,106,105,78
90,97,91,111,116,101,81,115,98,97
118,103,89,88,100,86,109,98,98,127
105,102,101,94,91,90,104,93,100,94
109,97,99,91,94,113,87,105,105,89
