0,1,2,3,4,5,6,7,8,9
42,44,45,39,50,48,47,44,43,45
37,48,44,69,54,52,58,47,39,39
52,38,49,48,50,41,57,54,64,52
55,46,39,42,56,59,42,56,54,43
58,60,45,58,47,42,45,43,45,55
41,45,55,54,53,45,53,45,64,63
56,49,49,53,47,54,50,44,39,52
47,43,53,51,49,44,55,45,44,50
58,51,42,55,50,49,42,49,53,41
61,52,43,44,58,47,46,59,48,41
