0,1,2,3,4,5,6,7,8,9
12,10,10,10,19,8,6,11,7,17
11,10,8,10,10,11,15,9,12,14
11,10,17,10,11,13,10,13,9,15
10,10,11,10,10,12,9,14,13,9
9,9,9,10,8,15,12,13,12,8
12,12,22,14,18,15,13,14,13,14
15,20,9,8,16,10,17,15,11,13
9,14,14,9,8,8,3,14,12,10
8,13,12,19,8,10,14,6,12,8
10,19,12,9,16,11,12,12,11,15
12,9,12,8,16,17,18,6,12,15
13,14,15,15,18,16,16,14,10,12
14,16,14,11,8,10,13,15,9,13
11,6,9,8,15,10,13,12,11,20
14,17,18,10,7,7,14,14,16,13
16,11,16,14,12,12,14,10,6,13
14,13,12,19,15,14,11,20,12,10
11,12,14,14,16,14,15,14,10,8
9,9,14,10,13,12,9,11,11,13
9,10,14,6,10,15,12,11,18,14
7,9,12,13,12,8,9,16,9,12
19,15,11,20,17,6,14,10,10,19
9,14,7,15,9,20,14,10,12,13
9,11,16,12,22,14,19,19,11,14
17,11,13,15,11,14,13,11,11,14
14,10,15,15,11,12,7,10,17,13
13,12,12,17,15,13,8,14,12,10
13,9,9,5,8,17,10,11,15,16
9,8,8,22,9,14,13,7,12,9
17,15,17,11,12,11,17,10,11,11
13,5,14,12,17,12,11,15,9,12
10,14,16,10,11,7,10,14,8,18
15,6,17,20,6,14,15,16,12,8
9,13,16,12,13,14,14,9,10,17
9,13,12,15,12,8,14,8,11,9
16,13,10,17,6,20,9,13,12,7
18,14,19,10,11,17,13,11,8,10
16,9,9,11,14,10,16,12,10,20
9,9,17,12,14,15,8,9,13,15
18,13,9,18,7,14,9,13,14,5
