size,list,forward_list,subforwardlist
10000,16,14,15
20000,16,15,15
30000,15,15,14
40000,16,15,15
50000,16,15,14
60000,15,15,14
70000,15,14,14
80000,15,15,14
90000,15,14,14
100000,16,15,15
110000,15,15,14
120000,16,15,14
130000,16,15,15
140000,16,15,14
150000,15,14,14
160000,15,14,14
170000,15,15,15
180000,15,15,14
190000,16,15,15
200000,16,15,14
210000,16,14,15
220000,15,15,14
230000,15,14,14
240000,16,15,14
250000,16,14,14
260000,15,15,14
270000,15,14,14
280000,15,14,14
290000,24,14,14
300000,16,15,15
310000,15,15,14
320000,16,15,14
330000,16,15,14
340000,16,15,14
350000,16,15,15
360000,15,15,14
370000,15,14,14
380000,15,14,14
390000,15,14,14
400000,16,15,14
410000,16,15,15
420000,19,14,14
430000,16,14,14
440000,15,14,15
450000,16,15,15
460000,15,14,14
470000,15,15,14
480000,15,14,14
490000,15,14,14
500000,15,14,14
510000,16,14,15
520000,16,15,15
530000,16,15,14
540000,15,14,14
550000,16,15,15
560000,16,14,14
570000,16,14,15
580000,15,14,14
590000,15,14,15
600000,15,14,14
610000,15,15,14
620000,15,14,14
630000,16,15,15
640000,15,14,15
650000,15,14,14
660000,15,15,14
670000,16,14,14
680000,17,14,14
690000,15,15,15
700000,15,15,14
710000,15,14,14
720000,16,14,14
730000,15,15,15
740000,15,14,14
750000,16,14,15
760000,16,15,14
770000,15,14,14
780000,16,14,15
790000,15,15,14
800000,15,14,14
810000,15,14,14
820000,15,14,14
830000,15,14,14
840000,16,15,14
850000,16,14,14
860000,15,15,14
870000,15,14,14
880000,15,14,15
890000,16,15,15
900000,15,14,14
910000,16,15,15
920000,16,15,15
930000,16,14,14
940000,16,15,15
950000,16,15,15
960000,16,14,15
970000,15,15,14
980000,16,15,15
990000,16,14,14
1000000,16,14,14
1010000,15,15,15
1020000,15,15,15
1030000,16,15,14
1040000,15,15,14
1050000,16,15,15
1060000,15,15,15
1070000,15,15,15
1080000,16,15,15
1090000,16,14,14
1100000,16,14,15
1110000,15,14,14
1120000,16,16,15
1130000,15,14,15
1140000,16,15,14
1150000,16,15,14
1160000,15,14,14
1170000,16,15,15
1180000,16,14,14
1190000,16,15,44
1200000,16,16,17
1210000,16,15,14
1220000,15,15,14
1230000,16,15,14
1240000,15,15,15
1250000,15,15,15
1260000,16,15,14
1270000,15,14,15
1280000,16,14,14
1290000,16,15,14
1300000,15,14,14
1310000,16,15,14
1320000,15,15,15
1330000,16,15,15
1340000,16,16,15
1350000,16,15,15
1360000,15,15,15
1370000,16,15,15
1380000,16,14,15
1390000,16,15,14
1400000,15,15,15
1410000,16,15,15
1420000,16,15,15
1430000,16,14,14
1440000,16,15,14
1450000,15,15,14
1460000,16,14,14
1470000,15,15,14
1480000,16,15,15
1490000,15,15,14
1500000,16,15,14
1510000,16,15,15
1520000,16,14,14
1530000,16,15,14
1540000,16,15,15
1550000,16,15,15
1560000,15,14,14
1570000,15,14,14
1580000,15,14,14
1590000,16,15,15
1600000,16,14,15
1610000,16,15,15
1620000,16,15,14
1630000,15,14,15
1640000,15,14,14
1650000,16,15,15
1660000,15,15,15
1670000,15,15,14
1680000,16,15,15
1690000,16,15,15
1700000,16,15,15
1710000,15,15,14
1720000,15,15,15
1730000,15,15,15
1740000,15,15,14
1750000,15,15,14
1760000,16,15,15
1770000,15,14,14
1780000,15,15,14
1790000,15,14,14
1800000,16,15,16
1810000,16,15,15
1820000,16,15,15
1830000,16,15,14
1840000,16,14,14
1850000,17,15,15
1860000,16,14,15
1870000,15,15,14
1880000,15,14,14
1890000,18,15,15
1900000,16,15,15
1910000,16,15,14
1920000,16,15,15
1930000,16,14,14
1940000,15,14,14
1950000,15,14,14
1960000,15,15,14
1970000,16,14,14
1980000,15,15,15
1990000,16,14,15
2000000,15,14,14
2010000,16,14,15
2020000,15,15,15
2030000,16,15,15
2040000,16,14,14
2050000,15,14,14
2060000,16,15,14
2070000,16,15,15
2080000,15,15,14
2090000,15,14,14
2100000,17,15,15
2110000,15,14,14
2120000,16,15,14
2130000,15,15,14
2140000,15,14,14
2150000,15,14,15
2160000,16,15,15
2170000,15,14,14
2180000,15,15,14
2190000,16,15,15
2200000,16,15,15
2210000,16,15,15
2220000,15,15,16
2230000,15,15,15
2240000,15,14,14
2250000,15,14,15
2260000,15,14,14
2270000,16,14,14
2280000,15,14,14
2290000,16,14,14
2300000,15,14,14
2310000,15,15,14
2320000,15,14,45
2330000,16,15,15
2340000,15,15,14
2350000,15,15,14
2360000,16,15,15
2370000,15,15,14
2380000,15,14,14
2390000,15,14,14
2400000,15,14,14
2410000,15,14,14
2420000,15,14,14
2430000,15,14,15
2440000,16,15,14
2450000,15,15,14
2460000,15,14,14
2470000,15,15,15
2480000,16,15,15
2490000,15,14,14
2500000,15,14,14
2510000,15,14,14
2520000,16,17,20
2530000,15,15,14
2540000,15,14,14
2550000,16,15,15
2560000,15,14,14
2570000,15,14,14
2580000,16,15,14
2590000,16,14,14
2600000,15,15,14
2610000,16,15,14
2620000,16,15,15
2630000,15,14,14
2640000,16,15,15
2650000,15,15,14
2660000,16,14,14
2670000,15,14,14
2680000,15,15,15
2690000,16,14,14
2700000,15,14,14
2710000,15,14,15
2720000,15,15,14
2730000,15,15,15
2740000,16,15,15
2750000,16,14,14
2760000,16,14,14
2770000,15,14,14
2780000,15,14,14
2790000,16,15,15
2800000,15,15,15
2810000,15,14,14
2820000,15,15,14
2830000,15,14,14
2840000,15,14,14
2850000,16,15,15
2860000,15,14,14
2870000,15,14,14
2880000,15,14,14
2890000,15,15,14
2900000,15,14,14
2910000,16,15,14
2920000,15,14,14
2930000,16,15,14
2940000,15,15,15
2950000,16,15,15
2960000,16,15,15
2970000,16,15,15
2980000,15,22,14
2990000,15,14,14
