0,165,40
1,134,32
2,145,26
3,152,44
4,152,32
5,272,33
6,160,34
7,161,59
8,162,36
9,158,38
10,162,40
11,141,39
12,141,38
13,168,43
14,175,44
15,231,86
16,207,54
17,178,48
18,174,51
19,169,48
20,175,53
21,182,53
22,180,53
23,182,59
24,180,56
25,180,62
26,180,57
27,253,63
28,182,62
29,183,62
30,173,61
31,174,112
32,185,60
33,159,60
34,178,64
35,167,63
36,162,67
37,158,65
38,141,66
39,145,61
40,95,56
41,117,53
42,91,60
43,91,58
44,94,59
45,97,57
46,109,62
47,90,61
48,133,70
49,133,76
50,155,61
51,100,66
52,112,65
53,94,65
54,90,70
55,127,81
56,176,73
57,95,60
58,91,65
59,91,65
60,93,70
61,108,69
62,94,74
63,96,156
64,103,80
65,103,81
66,102,68
67,100,73
68,100,78
69,102,71
70,103,71
71,103,76
72,106,72
73,153,84
74,119,72
75,104,83
76,113,77
77,103,79
78,104,91
79,102,78
80,103,81
81,103,90
82,102,79
83,106,89
84,110,79
85,103,78
86,102,83
87,103,106
88,102,87
89,105,94
90,107,83
91,105,96
92,111,88
93,106,93
94,105,91
95,103,102
96,108,109
97,107,107
98,104,103
99,108,91
100,106,104
101,112,110
102,106,108
103,176,188
104,177,136
105,224,131
106,158,120
107,169,136
108,253,126
109,165,137
110,169,135
111,162,139
112,161,244
113,159,141
114,202,141
115,158,136
116,168,141
117,175,142
118,178,151
119,196,151
120,172,160
121,194,158
122,198,151
123,196,157
124,191,153
125,169,161
126,184,113
127,105,291
128,151,130
129,107,115
130,129,128
131,110,132
132,108,124
133,109,125
134,110,117
135,108,145
136,110,134
137,111,139
138,109,136
139,110,136
140,111,134
141,111,144
142,112,135
143,112,130
144,114,161
145,114,153
146,109,141
147,108,125
148,107,127
149,109,150
150,108,123
151,113,157
152,109,158
153,108,134
154,108,120
155,108,140
156,109,151
157,109,163
158,111,149
159,109,162
160,109,130
161,108,156
162,109,157
163,108,153
164,108,140
165,111,144
166,108,149
167,113,163
168,109,170
169,108,142
170,110,167
171,113,169
172,110,158
173,109,139
174,108,152
175,109,140
176,110,139
177,122,155
178,112,150
179,112,170
180,113,150
181,120,181
182,110,155
183,115,181
184,111,182
185,110,158
186,111,168
187,119,205
188,112,177
189,112,187
190,111,188
191,111,187
192,112,155
193,112,180
194,112,169
195,116,177
196,109,184
197,108,183
198,109,152
199,109,181
200,108,184
201,108,173
202,110,196
203,109,172
204,110,169
205,110,172
206,114,172
207,119,188
208,110,204
209,112,192
210,109,155
211,108,194
212,108,168
213,112,183
214,109,183
215,108,173
216,111,210
217,110,178
218,109,153
219,109,192
220,110,169
221,110,198
222,112,174
223,109,205
224,111,208
225,112,175
226,111,195
227,127,185
228,123,208
229,110,206
230,108,172
231,108,204
232,108,223
233,110,202
234,109,235
235,108,173
236,110,221
237,110,229
238,113,228
239,111,226
240,112,189
241,112,196
242,112,196
243,174,274
244,129,203
245,112,200
246,110,214
247,111,190
248,149,218
249,114,192
250,112,213
251,111,216
252,114,220
253,114,221
254,111,237
255,110,512
256,126,226
257,122,232
258,127,246
259,113,246
260,112,203
261,114,239
262,111,244
263,111,230
264,112,286
265,111,255
266,132,245
267,113,236
268,114,229
269,114,235
270,113,238
271,116,222
272,116,225
273,115,200
274,116,210
275,116,270
276,115,205
277,114,227
278,114,216
279,115,244
280,113,231
281,113,278
282,112,216
283,114,257
284,115,250
285,137,245
286,113,203
287,114,259
288,115,227
289,116,240
290,116,252
291,117,266
292,115,246
293,115,254
294,113,232
295,117,252
296,116,268
297,116,255
298,117,271
299,115,239
300,115,232
301,117,250
302,116,269
303,117,250
304,118,269
305,158,305
306,116,246
307,115,255
308,116,244
309,115,264
310,115,270
311,114,242
312,118,264
313,118,280
314,118,290
315,115,306
316,117,297
317,116,278
318,116,270
319,117,271
320,118,425
321,120,246
322,118,288
323,118,272
324,116,285
325,119,290
326,116,276
327,117,295
328,117,297
329,118,297
330,116,301
331,116,281
332,118,262
333,119,287
334,117,261
335,117,287
336,119,270
337,121,280
338,120,241
339,118,248
340,118,290
341,119,271
342,117,274
343,116,269
344,119,247
345,118,326
346,123,283
347,119,293
348,120,296
349,119,304
350,117,275
351,117,318
352,118,287
353,133,314
354,121,273
355,119,325
356,119,312
357,120,302
358,116,313
359,117,306
360,121,279
361,119,302
362,120,280
363,121,311
364,121,276
365,122,300
366,120,296
367,118,287
368,122,307
369,122,270
370,120,301
371,121,276
372,121,309
373,119,332
374,122,299
375,118,317
376,119,307
377,120,307
378,121,327
379,118,294
380,120,305
381,122,294
382,143,282
383,122,303
384,123,313
385,122,287
386,121,320
387,121,326
388,123,321
389,138,374
390,124,268
391,120,293
392,123,294
393,123,306
394,122,378
395,122,341
396,124,341
397,124,389
398,119,338
399,121,323
400,124,297
401,124,363
402,124,330
403,123,306
404,123,314
405,122,331
406,121,344
407,120,322
408,122,317
409,122,326
410,121,297
411,137,324
412,123,314
413,123,329
414,121,308
415,121,354
416,123,324
417,127,309
418,123,329
