10000,159,183
20000,379,423
30000,609,627
40000,925,846
50000,1173,1189
60000,1179,1264
70000,1635,1523
80000,1965,1767
90000,1974,2032
100000,2351,2367
110000,2652,2602
120000,2838,2838
130000,3014,3171
140000,3320,3238
150000,3604,3459
160000,3448,3689
170000,4036,4322
180000,4367,4309
190000,4480,4262
200000,5093,4713
210000,6499,5528
220000,5444,6335
230000,6979,6321
240000,5836,7404
250000,8940,8061
260000,8427,7433
270000,9665,8676
280000,8559,9181
290000,9904,8970
300000,9823,10387
310000,10595,10676
320000,10573,10790
330000,10691,12001
340000,12088,12287
350000,11577,11981
360000,12674,12316
370000,14004,14713
380000,14030,14416
390000,14205,15753
400000,13613,12915
410000,15954,15661
420000,14908,14683
430000,15583,15174
440000,18546,18167
450000,16479,21106
460000,17433,17766
470000,17855,16980
480000,15979,20031
490000,18329,18978
500000,19333,18389
510000,16729,20084
520000,17702,20980
530000,20927,18468
540000,18733,21761
550000,20504,25276
560000,22155,22831
570000,22356,21123
580000,24403,22228
590000,21102,23195
600000,22287,23579
610000,22854,18508
620000,28437,25638
630000,24413,25874
640000,24790,24449
650000,23589,24305
660000,26903,27493
670000,26997,23889
680000,24433,27877
690000,26326,27458
700000,27861,26615
710000,28267,31009
720000,26218,28398
730000,31337,30374
740000,29175,29799
750000,28885,27286
760000,33095,30327
770000,28032,27194
780000,30180,29910
790000,32772,31576
800000,32172,31922
810000,32753,30468
820000,36538,34443
830000,31922,33874
840000,34067,32513
850000,34044,35081
860000,33471,35032
870000,33712,34490
880000,37148,31643
890000,32810,33065
900000,35540,36115
910000,39073,37632
920000,36466,38563
930000,36745,36036
940000,34008,37478
950000,35614,37534
960000,37997,36389
970000,35809,39593
980000,38202,38958
990000,39446,41929
1000000,42193,41981
1010000,42897,41443
1020000,38262,47584
1030000,41194,44591
1040000,45979,38151
1050000,42028,43165
1060000,42984,41663
1070000,46586,44347
1080000,43345,44097
1090000,43399,41978
1100000,43613,42190
1110000,49162,47223
1120000,47314,48634
1130000,49148,51997
1140000,48897,42622
1150000,46343,47099
1160000,48744,45354
1170000,45147,46617
1180000,44988,42123
1190000,46738,39080
1200000,48198,48496
1210000,47113,54805
1220000,53845,44493
1230000,51975,49947
1240000,51198,53950
1250000,49159,53400
1260000,52201,52599
1270000,54973,52798
1280000,47106,52837
1290000,55145,58874
1300000,55394,56578
1310000,61129,53876
1320000,58590,52579
1330000,53411,56099
1340000,59108,53173
1350000,51338,52371
1360000,55491,57077
1370000,60080,63085
1380000,56865,54837
1390000,55423,58317
1400000,54400,59064
1410000,65206,57255
1420000,60095,55894
1430000,61889,58779
1440000,53112,58730
1450000,63214,62051
1460000,60227,53612
1470000,64026,58728
1480000,54918,64326
1490000,64952,55057
1500000,62523,64173
1510000,65393,65721
1520000,60779,63845
1530000,59706,66928
1540000,63590,72251
1550000,64960,56559
1560000,61565,60093
1570000,66117,68075
1580000,72029,65810
1590000,68782,67411
1600000,64299,62806
1610000,77075,59982
1620000,67928,67080
1630000,67097,75801
1640000,67109,82050
1650000,75666,69615
1660000,64577,75084
1670000,65599,69764
1680000,69711,67892
1690000,75396,65843
1700000,70525,70945
