t (s),V (mV)
0,17.1915
1.05,17.1666
2.1,17.1349
3.108,17.1088
4.108,17.0809
5.108,17.0523
6.108,17.0235
7.108,16.9954
8.108,16.9652
9.108,16.9366
10.108,16.9092
11.108,16.8796
12.108,16.8503
13.109,16.8208
14.109,16.7922
15.109,16.7627
16.109,16.7343
17.109,16.7054
18.109,16.6751
19.108,16.6459
20.108,16.6176
21.108,16.5876
22.108,16.5581
23.108,16.5288
24.108,16.5001
25.108,16.4703
26.109,16.441
27.109,16.4127
28.109,16.383
29.109,16.3545
30.109,16.3248
31.109,16.297
32.109,16.267
33.109,16.2382
34.109,16.2092
35.109,16.1806
36.108,16.1514
37.108,16.1219
38.109,16.0936
39.109,16.0655
40.109,16.0366
41.109,16.008
42.109,15.9786
43.109,15.9507
44.108,15.9218
45.109,15.8934
46.108,15.865
47.108,15.8366
48.108,15.8088
49.108,15.7807
50.108,15.7522
51.109,15.7252
52.108,15.6971
53.108,15.6689
54.108,15.6404
55.108,15.6135
56.109,15.5847
57.109,15.5577
58.109,15.5299
59.109,15.5024
60.108,15.4747
61.108,15.4467
62.108,15.4195
63.108,15.3918
64.108,15.3649
65.108,15.3373
66.108,15.3102
67.109,15.283
68.109,15.2564
69.109,15.2294
70.109,15.2022
71.109,15.1762
72.109,15.1489
73.109,15.1227
74.109,15.096
75.109,15.0688
76.108,15.0422
77.108,15.0166
78.108,14.9888
79.108,14.9628
80.108,14.9364
81.108,14.9103
82.108,14.8833
83.108,14.8577
84.108,14.8318
85.108,14.8057
86.108,14.7791
87.108,14.7532
88.108,14.7274
89.108,14.7011
90.108,14.6754
91.109,14.6497
92.109,14.6244
93.109,14.5935
94.108,14.5715
95.108,14.5469
96.108,14.5219
97.109,14.4958
98.109,14.4703
99.109,14.4454
100.108,14.4207
101.108,14.3953
102.109,14.3712
103.109,14.3449
104.109,14.3202
105.108,14.2958
106.108,14.2709
107.109,14.2461
108.109,14.2213
109.109,14.1961
110.108,14.1718
111.108,14.1473
112.108,14.1222
113.109,14.0973
114.109,14.0731
115.108,14.0482
116.108,14.0235
117.108,14
118.108,13.9749
119.109,13.9499
120.109,13.9258
121.109,13.9007
122.109,13.8763
123.109,13.8522
124.108,13.8278
125.108,13.8032
126.109,13.7794
127.109,13.7556
128.109,13.7317
129.108,13.7082
130.108,13.6843
131.108,13.6604
132.108,13.637
133.109,13.6126
134.109,13.5893
135.109,13.5658
136.109,13.5418
137.108,13.519
138.108,13.4951
139.108,13.4708
140.108,13.4479
141.109,13.4239
142.109,13.4006
143.109,13.3776
144.109,13.3547
145.109,13.3315
146.109,13.3076
147.109,13.2852
148.109,13.2619
149.109,13.2388
150.109,13.2154
151.109,13.1926
152.108,13.1698
153.109,13.1469
154.109,13.1244
155.109,13.1012
156.109,13.079
157.109,13.0564
158.108,13.0337
159.109,13.012
160.108,12.9887
161.108,12.9661
162.108,12.9447
163.109,12.9222
164.108,12.8996
165.108,12.8772
166.109,12.8555
167.109,12.8341
168.108,12.8111
169.108,12.7895
170.109,12.7671
171.109,12.7455
172.108,12.7234
173.109,12.702
174.108,12.6797
175.109,12.6577
176.108,12.6356
177.108,12.6145
178.109,12.593
179.109,12.5715
180.108,12.5489
181.108,12.5275
182.109,12.506
183.109,12.4846
184.109,12.4632
185.108,12.4415
186.109,12.4208
187.109,12.3996
188.108,12.3787
189.108,12.3567
190.109,12.3363
191.109,12.3151
192.108,12.294
193.109,12.2735
194.109,12.2525
195.109,12.2314
196.109,12.2104
197.109,12.1907
198.108,12.1689
199.109,12.1483
200.109,12.1273
201.108,12.1069
202.108,12.0865
203.109,12.0661
204.108,12.0448
205.108,12.0243
206.109,12.0045
207.108,11.9831
208.108,11.9631
209.109,11.9426
210.108,11.9227
211.108,11.9023
212.109,11.8825
213.108,11.8622
214.108,11.8418
215.109,11.8227
216.108,11.8016
217.108,11.781
218.109,11.7613
219.108,11.7417
220.109,11.722
221.109,11.7023
222.108,11.6825
223.109,11.6625
224.108,11.6423
225.108,11.6221
226.109,11.6029
227.108,11.5825
228.109,11.5638
229.109,11.5435
230.109,11.5239
231.108,11.5046
232.109,11.4847
233.108,11.4651
234.108,11.4451
235.109,11.4263
236.108,11.4069
237.109,11.3879
238.109,11.368
239.109,11.3488
240.109,11.3293
241.108,11.3101
242.109,11.2915
243.109,11.2714
244.108,11.2528
245.109,11.2336
246.109,11.2135
247.108,11.1945
248.109,11.1756
249.108,11.1565
250.109,11.1383
251.109,11.1196
252.108,11.1003
253.109,11.0818
254.108,11.0628
255.109,11.0429
256.108,11.0249
257.109,11.005
258.108,10.9866
259.109,10.9679
260.108,10.9504
261.109,10.9311
262.109,10.9119
263.108,10.8932
264.109,10.875
265.109,10.8568
266.108,10.8377
267.109,10.8188
268.108,10.8008
269.109,10.7832
270.111,10.7648
271.108,10.7452
272.109,10.7275
273.108,10.7089
274.109,10.6907
275.109,10.6718
276.108,10.6537
277.109,10.6361
278.108,10.6169
279.108,10.5996
280.107,10.5812
281.108,10.5639
282.108,10.5459
283.107,10.5272
284.108,10.51
285.107,10.4908
286.107,10.4737
