t (s),V (mV)
0,16.503
1.049,16.4606
2.067,16.4197
3.068,16.3776
4.067,16.3354
5.067,16.2929
6.068,16.2513
7.068,16.2089
8.067,16.1652
9.068,16.1224
10.068,16.0779
11.068,16.0351
12.067,15.9929
13.068,15.949
14.068,15.9054
15.068,15.8633
16.067,15.8205
17.068,15.7778
18.067,15.7365
19.068,15.6931
20.068,15.6509
21.067,15.6092
22.068,15.5676
23.067,15.524
24.067,15.4832
25.068,15.4423
26.068,15.4014
27.067,15.3599
28.067,15.3191
29.068,15.2877
30.067,15.248
31.068,15.2077
32.068,15.1663
33.067,15.1257
34.068,15.0861
35.067,15.0461
36.067,15.0068
37.068,14.9669
38.068,14.9268
39.067,14.8866
40.068,14.8477
41.067,14.808
42.067,14.7676
43.068,14.7292
44.067,14.6898
45.067,14.6508
46.068,14.6113
47.067,14.572
48.068,14.5335
49.068,14.4948
50.068,14.4552
51.067,14.417
52.068,14.378
53.067,14.3396
54.068,14.3026
55.067,14.2632
56.067,14.2263
57.068,14.1895
58.068,14.1524
59.068,14.114
60.068,14.0761
61.067,14.0368
62.067,14.0012
63.068,13.9656
64.068,13.9279
65.067,13.8891
66.068,13.8537
67.068,13.8177
68.067,13.7798
69.068,13.7451
70.067,13.7095
71.067,13.672
72.068,13.6363
73.067,13.5994
74.067,13.5646
75.068,13.5289
76.068,13.4937
77.067,13.459
78.068,13.4222
79.067,13.3866
80.068,13.3514
81.068,13.3172
82.068,13.2826
83.068,13.2482
84.067,13.2129
85.068,13.1785
86.067,13.1442
87.068,13.1096
88.068,13.075
89.068,13.0403
90.068,13.0055
91.067,12.973
92.068,12.9383
93.067,12.9044
94.068,12.8707
95.068,12.8358
96.068,12.8028
97.068,12.7685
98.068,12.736
99.068,12.702
100.068,12.6683
101.067,12.6357
102.068,12.6011
103.068,12.5682
104.068,12.5358
105.067,12.5027
106.068,12.4698
107.068,12.4371
108.068,12.4046
109.068,12.3728
110.067,12.3409
111.068,12.3088
112.067,12.2754
113.068,12.2458
114.067,12.213
115.068,12.1817
116.067,12.1509
117.067,12.1205
118.068,12.0885
119.068,12.0578
120.067,12.0267
121.068,11.9973
122.067,11.9654
123.068,11.935
124.068,11.9039
125.068,11.8738
126.068,11.8446
127.067,11.8143
128.068,11.7851
129.067,11.7549
130.068,11.7242
131.068,11.6943
132.067,11.6633
133.068,11.6337
134.067,11.6041
135.067,11.5734
136.067,11.5455
137.068,11.5153
138.068,11.4857
139.067,11.4584
140.068,11.427
141.067,11.3979
142.068,11.3689
143.068,11.3409
144.068,11.3117
145.068,11.2822
146.068,11.253
147.068,11.2233
148.067,11.1954
149.068,11.1661
150.067,11.1375
151.068,11.1094
152.068,11.08
153.067,11.053
154.068,11.0236
155.068,10.9973
156.067,10.9681
157.068,10.9412
158.068,10.9129
159.067,10.8838
160.068,10.855
161.067,10.8282
162.068,10.8005
163.068,10.7556
164.067,10.726
165.068,10.7009
166.068,10.6737
167.067,10.6467
168.067,10.6198
169.067,10.5938
170.067,10.5674
171.066,10.5409
172.067,10.5146
173.066,10.4869
174.067,10.4613
175.066,10.4332
176.066,10.4076
177.067,10.3809
178.066,10.3565
179.067,10.3303
180.067,10.3047
181.066,10.2783
182.066,10.2531
183.067,10.2259
184.066,10.1998
185.067,10.1753
186.066,10.1498
187.066,10.1246
188.067,10.0974
189.066,10.0667
190.067,10.0448
191.066,10.0202
192.068,9.9947
193.067,9.9698
194.068,9.9455
195.068,9.9207
196.068,9.8938
197.067,9.8709
198.067,9.8464
199.068,9.8227
200.068,9.7978
201.068,9.7727
202.068,9.7485
203.067,9.7246
204.068,9.6993
205.067,9.6742
206.068,9.6521
207.067,9.6277
208.068,9.6031
209.068,9.5787
210.068,9.5563
211.068,9.5313
212.067,9.5088
213.068,9.4949
214.067,9.471
215.068,9.4459
216.067,9.4215
217.068,9.3992
218.068,9.3762
219.067,9.3542
220.068,9.3334
221.067,9.3117
222.068,9.288
223.067,9.2651
224.067,9.2414
225.068,9.2236
226.068,9.2021
227.068,9.1788
228.068,9.1637
229.067,9.1405
230.068,9.1168
231.067,9.0947
232.068,9.0711
233.068,9.0507
234.067,9.0284
235.068,9.0053
236.067,8.9834
237.068,8.9619
238.067,8.9395
239.068,8.9166
240.067,8.8948
241.068,8.8724
242.067,8.8511
243.068,8.8298
244.067,8.8079
245.068,8.7858
246.067,8.7653
247.068,8.7444
248.067,8.7239
249.067,8.7024
250.068,8.6799
251.067,8.6591
252.068,8.6369
253.067,8.6164
254.068,8.594
255.068,8.574
256.067,8.5525
257.068,8.5313
258.067,8.5098
259.068,8.4895
260.068,8.4685
261.067,8.4477
262.068,8.427
263.068,8.4072
264.067,8.3857
265.068,8.3641
266.068,8.3455
267.067,8.3244
268.068,8.3046
269.067,8.2845
270.067,8.2641
271.068,8.2441
272.068,8.2243
273.067,8.2046
