100,2.2e-05
200,7.9e-05
300,0.000168
400,0.000308
500,0.00049
600,0.000669
700,0.00094
800,0.001236
900,0.001525
1000,0.002035
1100,0.002439
1200,0.002783
1300,0.003395
1400,0.003885
1500,0.004416
1600,0.005143
1700,0.005584
1800,0.006343
1900,0.009183
2000,0.007739
2100,0.008724
2200,0.009539
2300,0.010633
2400,0.011611
2500,0.01291
2600,0.013811
2700,0.014898
2800,0.016078
2900,0.017874
3000,0.018531
3100,0.019632
3200,0.021415
3300,0.022709
3400,0.025373
3500,0.030171
3600,0.02631
3700,0.027982
3800,0.030795
3900,0.032283
4000,0.034548
4100,0.036064
4200,0.044604
4300,0.038893
4400,0.039706
4500,0.042806
4600,0.045215
4700,0.046047
4800,0.049293
4900,0.050036
5000,0.050401
5100,0.054518
5200,0.056079
5300,0.058051
5400,0.063188
5500,0.062281
5600,0.066843
5700,0.067222
5800,0.072245
5900,0.072977
6000,0.078144
6100,0.084936
6200,0.087868
6300,0.084783
6400,0.088502
6500,0.092426
6600,0.092745
6700,0.097519
6800,0.10063
6900,0.104434
7000,0.10492
7100,0.110621
7200,0.114144
7300,0.116571
7400,0.118636
7500,0.12842
7600,0.135328
7700,0.139063
7800,0.14443
7900,0.147369
8000,0.152317
8100,0.154816
8200,0.159325
8300,0.155692
8400,0.159714
8500,0.169017
8600,0.17552
8700,0.18757
8800,0.186146
8900,0.183492
9000,0.181514
9100,0.184675
9200,0.190312
9300,0.193158
9400,0.197867
9500,0.207107
9600,0.207896
9700,0.215042
9800,0.219816
9900,0.236553
10000,0.243363
10100,0.291328
10200,0.249856
10300,0.261452
10400,0.255288
10500,0.264278
10600,0.269604
10700,0.262012
10800,0.274934
10900,0.286619
11000,0.285794
11100,0.286451
11200,0.302228
11300,0.302137
11400,0.30737
11500,0.315618
11600,0.320064
11700,0.324932
11800,0.327172
11900,0.336603
12000,0.350772
12100,0.343749
12200,0.347016
12300,0.35253
12400,0.360289
12500,0.366148
12600,0.371558
12700,0.378136
12800,0.381047
12900,0.400546
13000,0.409204
13100,0.407293
13200,0.427664
13300,0.437158
13400,0.456945
13500,0.467145
13600,0.450136
13700,0.444652
13800,0.457216
13900,0.457903
14000,0.461418
14100,0.473083
14200,0.575645
14300,0.503318
14400,0.504099
14500,0.513607
14600,0.518472
14700,0.518859
14800,0.530309
14900,0.52991
15000,0.54278
15100,0.542374
15200,0.563744
15300,0.559399
15400,0.561524
15500,0.570947
15600,0.576364
15700,0.587457
15800,0.593216
15900,0.602811
16000,0.613143
16100,0.619489
16200,0.623907
16300,0.633585
16400,0.64049
16500,0.648299
16600,0.655581
16700,0.666078
16800,0.676885
16900,0.68195
17000,0.693762
17100,0.704282
17200,0.710004
17300,0.720721
17400,0.730665
17500,0.735725
17600,0.773483
17700,0.756343
17800,0.761093
17900,0.773239
18000,0.785569
18100,0.813117
18200,0.815611
18300,0.886505
18400,0.883285
18500,0.857351
18600,0.837916
18700,0.84435
18800,0.861306
18900,0.866024
19000,0.875776
19100,0.889317
19200,0.896044
19300,1.24298
19400,0.928167
19500,0.967481
19600,0.959205
19700,0.946482
19800,0.95496
19900,0.964689
20000,0.982844
20100,1.02177
20200,1.0454
20300,1.02893
20400,1.05146
20500,1.03547
20600,1.04187
20700,1.05407
20800,1.0655
20900,1.06744
21000,1.07425
21100,1.08579
21200,1.09832
21300,1.10916
21400,1.12047
21500,1.13844
21600,1.15124
21700,1.15972
21800,1.19444
21900,1.2171
22000,1.22468
22100,1.20144
22200,1.21241
22300,1.22078
22400,1.23365
22500,1.24683
22600,1.25839
22700,1.27136
22800,1.27608
22900,1.31007
23000,1.32814
23100,1.32969
23200,1.33187
23300,1.34065
23400,1.8757
23500,1.37992
23600,1.38023
23700,1.38429
23800,1.41737
23900,1.46594
24000,1.5194
24100,1.45286
24200,1.44943
24300,1.46041
24400,1.49521
24500,1.48651
24600,1.49948
24700,1.53341
24800,1.53108
24900,1.53685
25000,1.56188
25100,1.57315
25200,1.57315
25300,1.59807
25400,1.62449
25500,1.61889
25600,1.62578
25700,1.65347
25800,1.65388
25900,1.67116
26000,1.69859
26100,1.69395
26200,1.72125
26300,1.7426
26400,1.73872
26500,1.7919
26600,1.81237
26700,1.78232
26800,1.79816
26900,1.82841
27000,1.82392
27100,1.84828
27200,1.85694
27300,1.85909
27400,1.89356
27500,2.29896
27600,1.97631
27700,2.01778
27800,2.01006
27900,1.98028
28000,2.01951
28100,2.01244
28200,2.06979
28300,2.04289
28400,2.04445
28500,2.05922
28600,2.09007
28700,2.10106
28800,2.08204
28900,2.13419
29000,2.25516
29100,2.16921
29200,2.15813
29300,2.15247
29400,2.20039
29500,2.18001
29600,2.19981
29700,2.21567
29800,2.23096
29900,2.2386
30000,2.30137
30100,2.32398
30200,2.39804
30300,2.41673
30400,2.36798
30500,2.40513
30600,2.48934
30700,2.50088
30800,2.422
30900,2.43205
31000,2.43368
31100,2.45694
31200,2.47296
31300,2.53888
31400,2.51845
31500,2.59266
31600,2.66296
31700,2.65256
31800,2.59973
31900,2.63932
32000,2.6095
32100,2.61662
32200,2.62243
32300,2.65838
32400,2.64448
32500,2.74371
32600,2.72482
32700,2.8115
32800,2.82955
32900,2.83612
33000,2.88929
33100,2.90311
33200,3.12931
33300,3.12318
33400,3.06569
33500,2.94963
33600,2.91329
33700,2.94737
33800,3.0901
33900,2.95464
34000,2.97572
34100,3.02252
34200,3.01463
34300,3.00607
34400,3.05216
34500,3.02139
34600,3.06009
34700,3.10075
34800,3.23931
34900,3.30647
35000,3.15049
