4000,0.030674,0.016118,0.038491
8000,0.123917,0.061117,0.156941
12000,0.306661,0.146532,0.368281
16000,0.554574,0.249972,0.613807
20000,0.876619,0.406782,1.0014
24000,1.32297,0.567262,1.44906
28000,1.78394,0.752289,1.97427
32000,2.34905,0.991089,2.51198
36000,2.88945,1.25626,3.24779
40000,3.63602,1.63688,3.96816
44000,4.38743,1.8465,4.79665
48000,5.40456,2.29298,5.58921
52000,6.10124,2.59191,6.74618
56000,7.26123,3.0067,7.64637
60000,8.21076,3.50528,9.07537
64000,9.45849,3.97835,10.2272
68000,11.0551,4.67071,11.8678
72000,11.9497,5.09496,12.9079
76000,13.7888,5.75375,14.7981
80000,14.8724,6.32657,16.0277
84000,16.773,7.19577,17.3135
88000,17.8278,7.59492,19.3372
92000,22.9947,8.03074,34.0935
96000,21.1122,8.83155,22.692
100000,23.3342,9.83863,24.7778
